id,naslov,leto,leto-zacetek,leto-konec,zasluzek,glasovi,dolzina,metascore,oznaka,opis,ocena,igralci,zanri
111161,Kaznilnica odrešitve,1994,1994,1994,28341469,2483693,142,80,R,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",9.3,"[{'id': 209, 'ime': 'Tim Robbins'}, {'id': 151, 'ime': 'Morgan Freeman'}, {'id': 348409, 'ime': 'Bob Gunton'}, {'id': 6669, 'ime': 'William Sadler'}]",['Drama']
468569,Vitez teme,2008,2008,2008,534858444,2437881,152,84,PG-13,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,"[{'id': 288, 'ime': 'Christian Bale'}, {'id': 5132, 'ime': 'Heath Ledger'}, {'id': 1173, 'ime': 'Aaron Eckhart'}, {'id': 323, 'ime': 'Michael Caine'}]","['Action', 'Crime', 'Drama']"
1375666,Izvor,2010,2010,2010,292576195,2187792,148,74,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",8.8,"[{'id': 138, 'ime': 'Leonardo DiCaprio'}, {'id': 330687, 'ime': 'Joseph Gordon-Levitt'}, {'id': 680983, 'ime': 'Elliot Page'}, {'id': 913822, 'ime': 'Ken Watanabe'}]","['Action', 'Adventure', 'Sci-Fi']"
137523,Klub golih pesti,1999,1999,1999,37030102,1957271,139,66,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,8.8,"[{'id': 93, 'ime': 'Brad Pitt'}, {'id': 1570, 'ime': 'Edward Norton'}, {'id': 1533, 'ime': 'Meat Loaf'}, {'id': 340260, 'ime': 'Zach Grenier'}]",['Drama']
110912,Šund,1994,1994,1994,107928762,1921905,154,94,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,"[{'id': 237, 'ime': 'John Travolta'}, {'id': 235, 'ime': 'Uma Thurman'}, {'id': 168, 'ime': 'Samuel L. Jackson'}, {'id': 246, 'ime': 'Bruce Willis'}]","['Crime', 'Drama']"
109830,Forrest Gump,1994,1994,1994,330252182,1920377,142,82,PG-13,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",8.8,"[{'id': 158, 'ime': 'Tom Hanks'}, {'id': 705, 'ime': 'Robin Wright'}, {'id': 641, 'ime': 'Gary Sinise'}, {'id': 398, 'ime': 'Sally Field'}]","['Drama', 'Romance']"
944947,Igra prestolov,2011–2019,2011,2019,,1895969,57,,,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",9.2,"[{'id': 3592338, 'ime': 'Emilia Clarke'}, {'id': 227759, 'ime': 'Peter Dinklage'}, {'id': 3229685, 'ime': 'Kit Harington'}, {'id': 372176, 'ime': 'Lena Headey'}]","['Action', 'Adventure', 'Drama']"
133093,Matrica,1999,1999,1999,171479930,1774544,136,73,R,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",8.7,"[{'id': 206, 'ime': 'Keanu Reeves'}, {'id': 401, 'ime': 'Laurence Fishburne'}, {'id': 5251, 'ime': 'Carrie-Anne Moss'}, {'id': 915989, 'ime': 'Hugo Weaving'}]","['Action', 'Sci-Fi']"
120737,Gospodar prstanov: Bratovscina prstana,2001,2001,2001,315544750,1741872,178,92,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.8,"[{'id': 704, 'ime': 'Elijah Wood'}, {'id': 5212, 'ime': 'Ian McKellen'}, {'id': 89217, 'ime': 'Orlando Bloom'}, {'id': 293, 'ime': 'Sean Bean'}]","['Action', 'Adventure', 'Drama']"
167260,Gospodar prstanov: Kraljeva vrnitev,2003,2003,2003,377845905,1720529,201,94,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,8.9,"[{'id': 704, 'ime': 'Elijah Wood'}, {'id': 1557, 'ime': 'Viggo Mortensen'}, {'id': 5212, 'ime': 'Ian McKellen'}, {'id': 89217, 'ime': 'Orlando Bloom'}]","['Action', 'Adventure', 'Drama']"
