id,naslov,leto-zacetek,leto-konec,dolzina,leto,ocena,metascore,glasovi,zasluzek,oznaka,opis
4972,The Birth of a Nation,1915,1915,195,1915,6.2,,23964,10000000,,"The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan."
6864,Intolerance: Love's Struggle Throughout the Ages,1916,1916,163,1916,7.7,99,15031,2180000,,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history."
12349,Deček,1921,1921,68,1921,8.3,,120909,5450000,,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
13442,"Nosferatu, simfonija groze",1922,1922,94,1922,7.9,,93088,,,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
14429,Resitev v zadnjem trenutku,1923,1923,74,1923,8.1,,19774,1359903,,A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.
15064,Der letzte Mann,1924,1924,77,1924,8.1,,13530,94812,,"An aging doorman is forced to face the scorn of his friends, neighbors and society after being fired from his prestigious job at a luxurious hotel."
15648,Bronenosets Potemkin,1925,1925,75,1925,8.0,97,55879,50970,,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
15864,Zlata mrzlica,1925,1925,95,1925,8.2,,107062,5450000,,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
17136,Metropolis,1927,1927,153,1927,8.3,98,167739,1236166,,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
17925,General,1926,1926,67,1926,8.1,,87374,1033895,,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
18455,Svitanje,1927,1927,94,1927,8.1,,49805,539540,,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme."
18578,Krila,1927,1927,144,1927,7.5,,12350,6587502,PG-13,"Two young men, one rich, one middle class, who are in love with the same woman, become fighter pilots in World War I."
18773,The Circus,1928,1928,72,1928,8.1,90,32432,,,The Tramp finds work and the girl of his dreams at a circus.
19254,La passion de Jeanne d'Arc,1928,1928,110,1928,8.1,,51833,21877,,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
21079,Little Caesar,1931,1931,79,1931,7.2,,12896,,,A small-time criminal moves to a big city to seek bigger fortune.
