film,oseba,mesto
4972,1273,1
4972,550615,2
4972,910400,3
4972,178270,4
6864,1273,1
6864,366008,2
6864,550615,3
6864,877548,4
12349,122,1
12349,701012,2
12349,1067,3
12349,588033,4
13442,775180,1
13442,334603,2
13442,903194,3
13442,775659,4
14429,516001,1
14429,205192,2
14429,835128,3
14429,949927,4
15064,417837,1
15064,217848,2
15064,384897,3
15064,476130,4
15648,31446,1
15648,58290,2
15648,17893,3
15648,90434,4
15864,122,1
15864,841501,2
15864,615306,3
15864,74788,4
17136,375609,1
17136,2154,2
17136,297054,3
17136,459030,4
17925,36,1
17925,533045,2
17925,147070,3
17925,267650,4
18455,639563,1
18455,310980,2
18455,515272,3
18455,743017,4
18578,1966,1
18578,736777,2
18578,35159,3
18578,707814,4
18773,122,1
18773,448224,2
18773,305087,3
18773,188357,4
19254,266029,1
19254,798564,2
19254,75551,3
19254,776914,4
21079,64,1
21079,1195,2
21079,268225,3
21079,171873,4
21577,595321,1
21577,529227,2
21577,479475,3
21577,259722,4
21749,122,1
21749,156039,2
21749,5681967,3
21749,616729,4
21814,509,1
21814,151377,2
21814,543115,3
21814,296859,4
21884,166972,1
21884,164883,2
21884,472,3
21884,92900,4
22100,48,1
22100,927145,2
22100,484737,3
22100,921532,4
22158,50,1
22158,555617,2
22158,2580347,3
22158,555597,4
22286,10,1
22286,1318,2
22286,940589,3
22286,951,4
22835,545298,1
22835,394244,2
22835,387556,3
22835,378555,4
23027,50,1
23027,555597,2
23027,555617,3
23027,2580347,4
23042,612847,1
23042,268225,2
23042,899091,3
23042,290271,4
23245,472,1
23245,423685,2
23245,543115,3
23245,126365,4
23563,459030,1
23563,921532,2
23563,99786,3
23563,226158,4
24216,942039,1
24216,35877,2
24216,127677,3
24216,717046,4
24844,663077,1
24844,202120,2
24844,546621,3
24844,498882,4
25316,22,1
25316,1055,2
25316,175369,3
25316,439850,4
26029,232196,1
26029,140914,2
26029,543169,3
26029,853607,4
26752,1452,1
26752,22,2
26752,867144,3
26752,612743,4
26778,50,1
26778,555597,2
26778,555617,3
26778,137634,4
27652,796662,1
27652,75,2
27652,8496,3
27652,127677,4
28010,1635,1
28010,1479,2
28010,103567,3
28010,665850,4
28096,1366,1
28096,7,2
28096,12,3
28096,864931,4
28333,1,1
28333,1677,2
28333,602005,3
28333,110813,4
28772,50,1
28772,555597,2
28772,555617,3
28772,427452,4
29162,172903,1
29162,943553,2
29162,2143,3
29162,397397,4
29583,143314,1
29583,830968,2
29583,479164,3
29583,41165,4
29843,1224,1
29843,14,2
29843,1651,3
29843,1647,4
30241,31,1
30241,26,2
30241,461615,3
30241,817,4
30287,12,1
30287,20,2
30287,107575,3
30287,512267,4
30341,516994,1
30341,714878,2
30341,510134,3
30341,926599,4
30993,795,1
30993,71,2
30993,859,3
30993,36427,4
31381,22,1
31381,46,2
31381,593775,3
31381,641966,4
31679,71,1
31679,795,2
31679,1647,3
31679,36427,4
31725,1256,1
31725,2048,2
31725,163257,3
31725,509,4
31762,26,1
31762,795,2
31762,28,3
31762,1932,4
31867,10,1
31867,7,2
31867,485509,3
31867,313438,4
32138,23,1
32138,604656,2
32138,1961,3
32138,481618,4
32143,790454,1
32143,1076,2
32143,751426,3
32143,92683,4
32455,831439,1
32455,852252,2
32455,1727756,3
32455,123553,4
32484,566948,1
32484,206478,2
32484,3339,3
32484,1695,4
32551,20,1
32551,2034,2
32551,1017,3
32551,335788,4
32599,26,1
32599,751426,2
32599,897,3
32599,516876,4
32701,12,1
32701,3339,2
32701,827263,3
32701,408586,4
32904,26,1
32904,31,2
32904,71,3
32904,404046,4
32910,427934,1
32910,747759,2
32910,305,3
32910,88285,4
32976,59,1
32976,21,2
32976,1695,3
32976,752,4
33045,837925,1
33045,71,2
33045,604656,3
33045,771584,4
33152,891998,1
33152,754942,2
33152,243454,3
33152,433188,4
33373,11,1
33373,1766,2
33373,393028,3
33373,871287,4
33467,80,1
33467,1072,2
33467,173827,3
33467,1547,4
33563,1359,1
33563,112395,2
33563,82884,3
33563,88285,4
33729,682074,1
33729,58,2
33729,496819,3
33729,187981,4
33804,1766,1
33804,20,2
33804,2013,3
33804,657874,4
33870,7,1
33870,802,2
33870,313438,3
33870,48,4
33891,11,1
33891,1766,2
33891,36427,3
33891,974,4
34240,566948,1
34240,43,2
34240,913094,3
34240,218131,4
34398,1647,1
34398,929925,2
34398,897,3
34398,461549,4
34492,17013,1
34492,18755,2
34492,1027883,3
34492,66951,4
34583,7,1
34583,6,2
34583,2134,3
34583,1647,4
35015,392529,1
35015,1072,2
35015,182537,3
35015,879,4
35279,485509,1
35279,191950,2
35279,472603,3
35279,62667,4
35423,212,1
35423,413168,2
35423,630,3
35423,5227,4
35575,10,1
35575,504125,2
35575,404158,3
35575,926636,4
36027,214168,1
36027,7218,2
36027,255199,3
36027,57121,4
36244,20,1
36244,763,2
36244,400794,3
36244,63,4
