film,oseba,vloga,mesto
4972,1273,I,1
4972,550615,I,2
4972,910400,I,3
4972,178270,I,4
6864,1273,I,1
6864,366008,I,2
6864,550615,I,3
6864,877548,I,4
12349,122,I,1
12349,701012,I,2
12349,1067,I,3
12349,588033,I,4
13442,775180,I,1
13442,334603,I,2
13442,903194,I,3
13442,775659,I,4
14429,516001,I,1
14429,205192,I,2
14429,835128,I,3
14429,949927,I,4
15064,417837,I,1
15064,217848,I,2
15064,384897,I,3
15064,476130,I,4
15648,31446,I,1
15648,58290,I,2
15648,17893,I,3
15648,90434,I,4
15864,122,I,1
15864,841501,I,2
15864,615306,I,3
15864,74788,I,4
17136,375609,I,1
17136,2154,I,2
17136,297054,I,3
17136,459030,I,4
17925,36,I,1
17925,533045,I,2
17925,147070,I,3
17925,267650,I,4
18455,639563,I,1
18455,310980,I,2
18455,515272,I,3
18455,743017,I,4
18578,1966,I,1
18578,736777,I,2
18578,35159,I,3
18578,707814,I,4
18773,122,I,1
18773,448224,I,2
18773,305087,I,3
18773,188357,I,4
19254,266029,I,1
19254,798564,I,2
19254,75551,I,3
19254,776914,I,4
21079,64,I,1
21079,1195,I,2
21079,268225,I,3
21079,171873,I,4
21577,595321,I,1
21577,529227,I,2
21577,479475,I,3
21577,259722,I,4
21749,122,I,1
21749,156039,I,2
21749,5681967,I,3
21749,616729,I,4
21814,509,I,1
21814,151377,I,2
21814,543115,I,3
21814,296859,I,4
21884,166972,I,1
21884,164883,I,2
21884,472,I,3
21884,92900,I,4
22100,48,I,1
22100,927145,I,2
22100,484737,I,3
22100,921532,I,4
22158,50,I,1
22158,555617,I,2
22158,2580347,I,3
22158,555597,I,4
22286,10,I,1
22286,1318,I,2
22286,940589,I,3
22286,951,I,4
22835,545298,I,1
22835,394244,I,2
22835,387556,I,3
22835,378555,I,4
23027,50,I,1
23027,555597,I,2
23027,555617,I,3
23027,2580347,I,4
23042,612847,I,1
23042,268225,I,2
23042,899091,I,3
23042,290271,I,4
23245,472,I,1
23245,423685,I,2
23245,543115,I,3
23245,126365,I,4
23563,459030,I,1
23563,921532,I,2
23563,99786,I,3
23563,226158,I,4
24216,942039,I,1
24216,35877,I,2
24216,127677,I,3
24216,717046,I,4
24844,663077,I,1
24844,202120,I,2
24844,546621,I,3
24844,498882,I,4
25316,22,I,1
25316,1055,I,2
25316,175369,I,3
25316,439850,I,4
26029,232196,I,1
26029,140914,I,2
26029,543169,I,3
26029,853607,I,4
26752,1452,I,1
26752,22,I,2
26752,867144,I,3
26752,612743,I,4
26778,50,I,1
26778,555597,I,2
26778,555617,I,3
26778,137634,I,4
27652,796662,I,1
27652,75,I,2
27652,8496,I,3
27652,127677,I,4
28010,1635,I,1
28010,1479,I,2
28010,103567,I,3
28010,665850,I,4
28096,1366,I,1
28096,7,I,2
28096,12,I,3
28096,864931,I,4
28333,1,I,1
28333,1677,I,2
28333,602005,I,3
28333,110813,I,4
28772,50,I,1
28772,555597,I,2
28772,555617,I,3
28772,427452,I,4
29162,172903,I,1
29162,943553,I,2
29162,2143,I,3
29162,397397,I,4
29583,143314,I,1
29583,830968,I,2
29583,479164,I,3
29583,41165,I,4
29843,1224,I,1
29843,14,I,2
29843,1651,I,3
29843,1647,I,4
30241,31,I,1
30241,26,I,2
30241,461615,I,3
30241,817,I,4
30287,12,I,1
30287,20,I,2
30287,107575,I,3
30287,512267,I,4
30341,516994,I,1
30341,714878,I,2
30341,510134,I,3
30341,926599,I,4
30993,795,I,1
30993,71,I,2
30993,859,I,3
30993,36427,I,4
31381,22,I,1
