film,zanr
4972,Drama
4972,History
4972,War
6864,Drama
6864,History
12349,Comedy
12349,Drama
12349,Family
13442,Fantasy
13442,Horror
14429,Action
14429,Comedy
14429,Thriller
15064,Drama
15648,Drama
15648,History
15648,Thriller
15864,Adventure
15864,Comedy
15864,Drama
17136,Drama
17136,Sci-Fi
17925,Action
17925,Adventure
17925,Comedy
18455,Drama
18455,Romance
18578,Drama
18578,Romance
18578,War
18773,Comedy
18773,Romance
19254,Biography
19254,Drama
19254,History
21079,Action
21079,Crime
21079,Drama
21577,Comedy
21577,Drama
21749,Comedy
21749,Drama
21749,Romance
21814,Drama
21814,Fantasy
21814,Horror
21884,Drama
21884,Horror
21884,Sci-Fi
22100,Crime
22100,Mystery
22100,Thriller
22158,Comedy
22158,Musical
22286,Crime
22286,Drama
22835,Horror
22835,Sci-Fi
23027,Comedy
23027,Musical
23027,Romance
23042,Crime
23042,Drama
23042,Film-Noir
23245,Fantasy
23245,Horror
23563,Crime
23563,Mystery
23563,Thriller
24216,Adventure
24216,Horror
24216,Sci-Fi
24844,Comedy
24844,Drama
24844,Romance
25316,Comedy
25316,Romance
26029,Crime
26029,Mystery
26029,Thriller
26752,Adventure
26752,Biography
26752,Drama
26778,Comedy
26778,Music
26778,Musical
27652,Crime
27652,Drama
27652,Film-Noir
28010,Comedy
28010,Drama
28010,Romance
28096,Crime
28096,Drama
28096,Romance
28333,Comedy
28333,Musical
28333,Romance
28772,Comedy
28772,Musical
28772,Sport
29162,Adventure
29162,Drama
29162,Fantasy
29583,Animation
29583,Family
29583,Fantasy
29843,Action
29843,Adventure
29843,Romance
30241,Comedy
30241,Romance
30287,Drama
30287,Romance
30341,Mystery
30341,Thriller
30993,Comedy
30993,Drama
30993,Romance
31381,Drama
31381,History
31381,Romance
31679,Comedy
31679,Drama
31725,Comedy
31725,Romance
31762,Adventure
31762,Drama
31762,Romance
31867,Crime
31867,Drama
31867,Film-Noir
32138,Adventure
32138,Family
32138,Fantasy
32143,Comedy
32143,Drama
32455,Animation
32455,Family
32455,Fantasy
32484,Action
32484,Romance
32484,Thriller
32551,Drama
32599,Comedy
32599,Drama
32599,Romance
32701,Crime
32701,Drama
32701,Film-Noir
32904,Comedy
32904,Romance
32910,Adventure
32910,Animation
32910,Comedy
32976,Drama
32976,Mystery
32976,Romance
33045,Comedy
33045,Drama
33045,Romance
